value,value_classification,time_until_update,date
24,Extreme Fear,,2022-01-29
24,Extreme Fear,,2022-01-28
20,Extreme Fear,,2022-01-27
23,Extreme Fear,,2022-01-26
12,Extreme Fear,,2022-01-25
13,Extreme Fear,,2022-01-24
11,Extreme Fear,,2022-01-23
13,Extreme Fear,,2022-01-22
19,Extreme Fear,,2022-01-21
24,Extreme Fear,,2022-01-20
24,Extreme Fear,,2022-01-19
24,Extreme Fear,,2022-01-18
22,Extreme Fear,,2022-01-17
21,Extreme Fear,,2022-01-16
23,Extreme Fear,,2022-01-15
21,Extreme Fear,,2022-01-14
21,Extreme Fear,,2022-01-13
22,Extreme Fear,,2022-01-12
21,Extreme Fear,,2022-01-11
23,Extreme Fear,,2022-01-10
23,Extreme Fear,,2022-01-09
10,Extreme Fear,,2022-01-08
18,Extreme Fear,,2022-01-07
15,Extreme Fear,,2022-01-06
24,Extreme Fear,,2022-01-05
23,Extreme Fear,,2022-01-04
29,Fear,,2022-01-03
29,Fear,,2022-01-02
21,Extreme Fear,,2022-01-01
28,Fear,,2021-12-31
22,Extreme Fear,,2021-12-30
27,Fear,,2021-12-29
41,Fear,,2021-12-28
40,Fear,,2021-12-27
37,Fear,,2021-12-26
39,Fear,,2021-12-25
41,Fear,,2021-12-24
34,Fear,,2021-12-23
45,Fear,,2021-12-22
27,Fear,,2021-12-21
25,Extreme Fear,,2021-12-20
29,Fear,,2021-12-19
24,Extreme Fear,,2021-12-18
23,Extreme Fear,,2021-12-17
29,Fear,,2021-12-16
28,Fear,,2021-12-15
21,Extreme Fear,,2021-12-14
28,Fear,,2021-12-13
27,Fear,,2021-12-12
16,Extreme Fear,,2021-12-11
24,Extreme Fear,,2021-12-10
29,Fear,,2021-12-09
28,Fear,,2021-12-08
25,Extreme Fear,,2021-12-07
16,Extreme Fear,,2021-12-06
18,Extreme Fear,,2021-12-05
25,Extreme Fear,,2021-12-04
31,Fear,,2021-12-03
32,Fear,,2021-12-02
34,Fear,,2021-12-01
40,Fear,,2021-11-30
33,Fear,,2021-11-29
27,Fear,,2021-11-28
21,Extreme Fear,,2021-11-27
47,Neutral,,2021-11-26
32,Fear,,2021-11-25
42,Fear,,2021-11-24
33,Fear,,2021-11-23
50,Neutral,,2021-11-22
49,Neutral,,2021-11-21
43,Fear,,2021-11-20
34,Fear,,2021-11-19
54,Neutral,,2021-11-18
52,Neutral,,2021-11-17
71,Greed,,2021-11-16
72,Greed,,2021-11-15
74,Greed,,2021-11-14
72,Greed,,2021-11-13
74,Greed,,2021-11-12
77,Extreme Greed,,2021-11-11
75,Greed,,2021-11-10
84,Extreme Greed,,2021-11-09
75,Greed,,2021-11-08
73,Greed,,2021-11-07
71,Greed,,2021-11-06
73,Greed,,2021-11-05
73,Greed,,2021-11-04
76,Extreme Greed,,2021-11-03
73,Greed,,2021-11-02
74,Greed,,2021-11-01
74,Greed,,2021-10-31
73,Greed,,2021-10-30
70,Greed,,2021-10-29
66,Greed,,2021-10-28
73,Greed,,2021-10-27
76,Extreme Greed,,2021-10-26
72,Greed,,2021-10-25
73,Greed,,2021-10-24
74,Greed,,2021-10-23
75,Greed,,2021-10-22
84,Extreme Greed,,2021-10-21
82,Extreme Greed,,2021-10-20
75,Greed,,2021-10-19
78,Extreme Greed,,2021-10-18
79,Extreme Greed,,2021-10-17
78,Extreme Greed,,2021-10-16
71,Greed,,2021-10-15
70,Greed,,2021-10-14
70,Greed,,2021-10-13
78,Extreme Greed,,2021-10-12
71,Greed,,2021-10-11
71,Greed,,2021-10-10
72,Greed,,2021-10-09
74,Greed,,2021-10-08
76,Extreme Greed,,2021-10-07
68,Greed,,2021-10-06
59,Greed,,2021-10-05
54,Neutral,,2021-10-04
49,Neutral,,2021-10-03
54,Neutral,,2021-10-02
27,Fear,,2021-10-01
20,Extreme Fear,,2021-09-30
24,Extreme Fear,,2021-09-29
25,Extreme Fear,,2021-09-28
26,Fear,,2021-09-27
27,Fear,,2021-09-26
28,Fear,,2021-09-25
33,Fear,,2021-09-24
27,Fear,,2021-09-23
21,Extreme Fear,,2021-09-22
27,Fear,,2021-09-21
50,Neutral,,2021-09-20
53,Neutral,,2021-09-19
50,Neutral,,2021-09-18
48,Neutral,,2021-09-17
53,Neutral,,2021-09-16
49,Neutral,,2021-09-15
30,Fear,,2021-09-14
44,Fear,,2021-09-13
32,Fear,,2021-09-12
31,Fear,,2021-09-11
46,Fear,,2021-09-10
45,Fear,,2021-09-09
47,Neutral,,2021-09-08
79,Extreme Greed,,2021-09-07
79,Extreme Greed,,2021-09-06
73,Greed,,2021-09-05
72,Greed,,2021-09-04
74,Greed,,2021-09-03
74,Greed,,2021-09-02
71,Greed,,2021-09-01
73,Greed,,2021-08-31
73,Greed,,2021-08-30
72,Greed,,2021-08-29
78,Extreme Greed,,2021-08-28
71,Greed,,2021-08-27
75,Greed,,2021-08-26
73,Greed,,2021-08-25
79,Extreme Greed,,2021-08-24
79,Extreme Greed,,2021-08-23
76,Extreme Greed,,2021-08-22
78,Extreme Greed,,2021-08-21
70,Greed,,2021-08-20
70,Greed,,2021-08-19
73,Greed,,2021-08-18
72,Greed,,2021-08-17
72,Greed,,2021-08-16
71,Greed,,2021-08-15
76,Extreme Greed,,2021-08-14
70,Greed,,2021-08-13
70,Greed,,2021-08-12
70,Greed,,2021-08-11
71,Greed,,2021-08-10
65,Greed,,2021-08-09
74,Greed,,2021-08-08
69,Greed,,2021-08-07
52,Neutral,,2021-08-06
50,Neutral,,2021-08-05
42,Fear,,2021-08-04
48,Neutral,,2021-08-03
48,Neutral,,2021-08-02
60,Greed,,2021-08-01
60,Greed,,2021-07-31
53,Neutral,,2021-07-30
50,Neutral,,2021-07-29
50,Neutral,,2021-07-28
32,Fear,,2021-07-27
26,Fear,,2021-07-26
27,Fear,,2021-07-25
22,Extreme Fear,,2021-07-24
23,Extreme Fear,,2021-07-23
21,Extreme Fear,,2021-07-22
10,Extreme Fear,,2021-07-21
19,Extreme Fear,,2021-07-20
24,Extreme Fear,,2021-07-19
19,Extreme Fear,,2021-07-18
15,Extreme Fear,,2021-07-17
22,Extreme Fear,,2021-07-16
20,Extreme Fear,,2021-07-15
21,Extreme Fear,,2021-07-14
20,Extreme Fear,,2021-07-13
25,Extreme Fear,,2021-07-12
20,Extreme Fear,,2021-07-11
20,Extreme Fear,,2021-07-10
20,Extreme Fear,,2021-07-09
20,Extreme Fear,,2021-07-08
28,Fear,,2021-07-07
20,Extreme Fear,,2021-07-06
29,Fear,,2021-07-05
27,Fear,,2021-07-04
24,Extreme Fear,,2021-07-03
21,Extreme Fear,,2021-07-02
28,Fear,,2021-07-01
28,Fear,,2021-06-30
25,Extreme Fear,,2021-06-29
25,Extreme Fear,,2021-06-28
22,Extreme Fear,,2021-06-27
20,Extreme Fear,,2021-06-26
27,Fear,,2021-06-25
22,Extreme Fear,,2021-06-24
14,Extreme Fear,,2021-06-23
10,Extreme Fear,,2021-06-22
23,Extreme Fear,,2021-06-21
21,Extreme Fear,,2021-06-20
23,Extreme Fear,,2021-06-19
25,Extreme Fear,,2021-06-18
26,Fear,,2021-06-17
33,Fear,,2021-06-16
38,Fear,,2021-06-15
28,Fear,,2021-06-14
23,Extreme Fear,,2021-06-13
28,Fear,,2021-06-12
21,Extreme Fear,,2021-06-11
21,Extreme Fear,,2021-06-10
14,Extreme Fear,,2021-06-09
13,Extreme Fear,,2021-06-08
15,Extreme Fear,,2021-06-07
17,Extreme Fear,,2021-06-06
24,Extreme Fear,,2021-06-05
27,Fear,,2021-06-04
24,Extreme Fear,,2021-06-03
23,Extreme Fear,,2021-06-02
20,Extreme Fear,,2021-06-01
18,Extreme Fear,,2021-05-31
10,Extreme Fear,,2021-05-30
18,Extreme Fear,,2021-05-29
21,Extreme Fear,,2021-05-28
27,Fear,,2021-05-27
22,Extreme Fear,,2021-05-26
22,Extreme Fear,,2021-05-25
10,Extreme Fear,,2021-05-24
14,Extreme Fear,,2021-05-23
12,Extreme Fear,,2021-05-22
19,Extreme Fear,,2021-05-21
11,Extreme Fear,,2021-05-20
23,Extreme Fear,,2021-05-19
21,Extreme Fear,,2021-05-18
27,Fear,,2021-05-17
20,Extreme Fear,,2021-05-16
27,Fear,,2021-05-15
26,Fear,,2021-05-14
31,Fear,,2021-05-13
68,Greed,,2021-05-12
61,Greed,,2021-05-11
72,Greed,,2021-05-10
73,Greed,,2021-05-09
67,Greed,,2021-05-08
64,Greed,,2021-05-07
65,Greed,,2021-05-06
48,Neutral,,2021-05-05
68,Greed,,2021-05-04
61,Greed,,2021-05-03
66,Greed,,2021-05-02
68,Greed,,2021-05-01
51,Neutral,,2021-04-30
52,Neutral,,2021-04-29
59,Greed,,2021-04-28
50,Neutral,,2021-04-27
27,Fear,,2021-04-26
31,Fear,,2021-04-25
37,Fear,,2021-04-24
55,Greed,,2021-04-23
65,Greed,,2021-04-22
73,Greed,,2021-04-21
73,Greed,,2021-04-20
74,Greed,,2021-04-19
79,Extreme Greed,,2021-04-18
76,Extreme Greed,,2021-04-17
78,Extreme Greed,,2021-04-16
79,Extreme Greed,,2021-04-15
75,Greed,,2021-04-14
74,Greed,,2021-04-13
74,Greed,,2021-04-12
76,Extreme Greed,,2021-04-11
70,Greed,,2021-04-10
70,Greed,,2021-04-09
73,Greed,,2021-04-08
72,Greed,,2021-04-07
75,Greed,,2021-04-06
71,Greed,,2021-04-05
74,Greed,,2021-04-04
73,Greed,,2021-04-03
74,Greed,,2021-04-02
74,Greed,,2021-04-01
76,Extreme Greed,,2021-03-31
72,Greed,,2021-03-30
72,Greed,,2021-03-29
74,Greed,,2021-03-28
65,Greed,,2021-03-27
54,Neutral,,2021-03-26
60,Greed,,2021-03-25
65,Greed,,2021-03-24
66,Greed,,2021-03-23
70,Greed,,2021-03-22
73,Greed,,2021-03-21
75,Greed,,2021-03-20
71,Greed,,2021-03-19
72,Greed,,2021-03-18
71,Greed,,2021-03-17
71,Greed,,2021-03-16
76,Extreme Greed,,2021-03-15
78,Extreme Greed,,2021-03-14
74,Greed,,2021-03-13
70,Greed,,2021-03-12
73,Greed,,2021-03-11
68,Greed,,2021-03-10
81,Extreme Greed,,2021-03-09
81,Extreme Greed,,2021-03-08
76,Extreme Greed,,2021-03-07
77,Extreme Greed,,2021-03-06
77,Extreme Greed,,2021-03-05
84,Extreme Greed,,2021-03-04
78,Extreme Greed,,2021-03-03
78,Extreme Greed,,2021-03-02
38,Fear,,2021-03-01
55,Greed,,2021-02-28
56,Greed,,2021-02-27
55,Greed,,2021-02-26
79,Extreme Greed,,2021-02-25
76,Extreme Greed,,2021-02-24
94,Extreme Greed,,2021-02-23
94,Extreme Greed,,2021-02-22
91,Extreme Greed,,2021-02-21
91,Extreme Greed,,2021-02-20
93,Extreme Greed,,2021-02-19
91,Extreme Greed,,2021-02-18
95,Extreme Greed,,2021-02-17
95,Extreme Greed,,2021-02-16
93,Extreme Greed,,2021-02-15
95,Extreme Greed,,2021-02-14
92,Extreme Greed,,2021-02-13
92,Extreme Greed,,2021-02-12
93,Extreme Greed,,2021-02-11
92,Extreme Greed,,2021-02-10
95,Extreme Greed,,2021-02-09
83,Extreme Greed,,2021-02-08
86,Extreme Greed,,2021-02-07
84,Extreme Greed,,2021-02-06
81,Extreme Greed,,2021-02-05
80,Extreme Greed,,2021-02-04
78,Extreme Greed,,2021-02-03
76,Extreme Greed,,2021-02-02
77,Extreme Greed,,2021-02-01
78,Extreme Greed,,2021-01-31
76,Extreme Greed,,2021-01-30
77,Extreme Greed,,2021-01-29
55,Greed,,2021-01-28
78,Extreme Greed,,2021-01-27
71,Greed,,2021-01-26
74,Greed,,2021-01-25
70,Greed,,2021-01-24
74,Greed,,2021-01-23
40,Fear,,2021-01-22
75,Greed,,2021-01-21
78,Extreme Greed,,2021-01-20
80,Extreme Greed,,2021-01-19
79,Extreme Greed,,2021-01-18
79,Extreme Greed,,2021-01-17
84,Extreme Greed,,2021-01-16
88,Extreme Greed,,2021-01-15
83,Extreme Greed,,2021-01-14
78,Extreme Greed,,2021-01-13
84,Extreme Greed,,2021-01-12
90,Extreme Greed,,2021-01-11
94,Extreme Greed,,2021-01-10
93,Extreme Greed,,2021-01-09
93,Extreme Greed,,2021-01-08
91,Extreme Greed,,2021-01-07
95,Extreme Greed,,2021-01-06
93,Extreme Greed,,2021-01-05
94,Extreme Greed,,2021-01-04
93,Extreme Greed,,2021-01-03
94,Extreme Greed,,2021-01-02
94,Extreme Greed,,2021-01-01
95,Extreme Greed,,2020-12-31
91,Extreme Greed,,2020-12-30
91,Extreme Greed,,2020-12-29
92,Extreme Greed,,2020-12-28
91,Extreme Greed,,2020-12-27
93,Extreme Greed,,2020-12-26
94,Extreme Greed,,2020-12-25
86,Extreme Greed,,2020-12-24
93,Extreme Greed,,2020-12-23
88,Extreme Greed,,2020-12-22
92,Extreme Greed,,2020-12-21
92,Extreme Greed,,2020-12-20
93,Extreme Greed,,2020-12-19
95,Extreme Greed,,2020-12-18
92,Extreme Greed,,2020-12-17
92,Extreme Greed,,2020-12-16
91,Extreme Greed,,2020-12-15
95,Extreme Greed,,2020-12-14
91,Extreme Greed,,2020-12-13
90,Extreme Greed,,2020-12-12
89,Extreme Greed,,2020-12-11
94,Extreme Greed,,2020-12-10
86,Extreme Greed,,2020-12-09
95,Extreme Greed,,2020-12-08
94,Extreme Greed,,2020-12-07
95,Extreme Greed,,2020-12-06
93,Extreme Greed,,2020-12-05
92,Extreme Greed,,2020-12-04
92,Extreme Greed,,2020-12-03
92,Extreme Greed,,2020-12-02
95,Extreme Greed,,2020-12-01
88,Extreme Greed,,2020-11-30
89,Extreme Greed,,2020-11-29
87,Extreme Greed,,2020-11-28
86,Extreme Greed,,2020-11-27
93,Extreme Greed,,2020-11-26
94,Extreme Greed,,2020-11-25
88,Extreme Greed,,2020-11-24
90,Extreme Greed,,2020-11-23
94,Extreme Greed,,2020-11-22
91,Extreme Greed,,2020-11-21
86,Extreme Greed,,2020-11-20
94,Extreme Greed,,2020-11-19
91,Extreme Greed,,2020-11-18
86,Extreme Greed,,2020-11-17
90,Extreme Greed,,2020-11-16
86,Extreme Greed,,2020-11-15
90,Extreme Greed,,2020-11-14
89,Extreme Greed,,2020-11-13
87,Extreme Greed,,2020-11-12
86,Extreme Greed,,2020-11-11
90,Extreme Greed,,2020-11-10
90,Extreme Greed,,2020-11-09
82,Extreme Greed,,2020-11-08
88,Extreme Greed,,2020-11-07
90,Extreme Greed,,2020-11-06
72,Greed,,2020-11-05
74,Greed,,2020-11-04
71,Greed,,2020-11-03
71,Greed,,2020-11-02
72,Greed,,2020-11-01
73,Greed,,2020-10-31
74,Greed,,2020-10-30
67,Greed,,2020-10-29
70,Greed,,2020-10-28
61,Greed,,2020-10-27
75,Greed,,2020-10-26
76,Extreme Greed,,2020-10-25
73,Greed,,2020-10-24
74,Greed,,2020-10-23
73,Greed,,2020-10-22
61,Greed,,2020-10-21
56,Greed,,2020-10-20
55,Greed,,2020-10-19
55,Greed,,2020-10-18
56,Greed,,2020-10-17
52,Neutral,,2020-10-16
56,Greed,,2020-10-15
53,Neutral,,2020-10-14
56,Greed,,2020-10-13
52,Neutral,,2020-10-12
55,Greed,,2020-10-11
53,Neutral,,2020-10-10
48,Neutral,,2020-10-09
46,Fear,,2020-10-08
43,Fear,,2020-10-07
47,Neutral,,2020-10-06
42,Fear,,2020-10-05
42,Fear,,2020-10-04
40,Fear,,2020-10-03
41,Fear,,2020-10-02
45,Fear,,2020-10-01
49,Neutral,,2020-09-30
45,Fear,,2020-09-29
43,Fear,,2020-09-28
47,Neutral,,2020-09-27
45,Fear,,2020-09-26
46,Fear,,2020-09-25
39,Fear,,2020-09-24
43,Fear,,2020-09-23
39,Fear,,2020-09-22
48,Neutral,,2020-09-21
52,Neutral,,2020-09-20
48,Neutral,,2020-09-19
49,Neutral,,2020-09-18
48,Neutral,,2020-09-17
43,Fear,,2020-09-16
47,Neutral,,2020-09-15
39,Fear,,2020-09-14
38,Fear,,2020-09-13
41,Fear,,2020-09-12
41,Fear,,2020-09-11
38,Fear,,2020-09-10
38,Fear,,2020-09-09
41,Fear,,2020-09-08
41,Fear,,2020-09-07
41,Fear,,2020-09-06
41,Fear,,2020-09-05
40,Fear,,2020-09-04
79,Extreme Greed,,2020-09-03
83,Extreme Greed,,2020-09-02
75,Greed,,2020-09-01
75,Greed,,2020-08-31
75,Greed,,2020-08-30
79,Extreme Greed,,2020-08-29
74,Greed,,2020-08-28
75,Greed,,2020-08-27
76,Extreme Greed,,2020-08-26
75,Greed,,2020-08-25
78,Extreme Greed,,2020-08-24
76,Extreme Greed,,2020-08-23
78,Extreme Greed,,2020-08-22
81,Extreme Greed,,2020-08-21
75,Greed,,2020-08-20
80,Extreme Greed,,2020-08-19
82,Extreme Greed,,2020-08-18
83,Extreme Greed,,2020-08-17
82,Extreme Greed,,2020-08-16
79,Extreme Greed,,2020-08-15
78,Extreme Greed,,2020-08-14
75,Greed,,2020-08-13
75,Greed,,2020-08-12
84,Extreme Greed,,2020-08-11
78,Extreme Greed,,2020-08-10
79,Extreme Greed,,2020-08-09
77,Extreme Greed,,2020-08-08
77,Extreme Greed,,2020-08-07
79,Extreme Greed,,2020-08-06
75,Greed,,2020-08-05
72,Greed,,2020-08-04
75,Greed,,2020-08-03
80,Extreme Greed,,2020-08-02
75,Greed,,2020-08-01
75,Greed,,2020-07-31
76,Extreme Greed,,2020-07-30
71,Greed,,2020-07-29
76,Extreme Greed,,2020-07-28
58,Greed,,2020-07-27
55,Greed,,2020-07-26
55,Greed,,2020-07-25
53,Neutral,,2020-07-24
55,Greed,,2020-07-23
50,Neutral,,2020-07-22
44,Fear,,2020-07-21
44,Fear,,2020-07-20
41,Fear,,2020-07-19
44,Fear,,2020-07-18
41,Fear,,2020-07-17
43,Fear,,2020-07-16
44,Fear,,2020-07-15
43,Fear,,2020-07-14
43,Fear,,2020-07-13
41,Fear,,2020-07-12
44,Fear,,2020-07-11
41,Fear,,2020-07-10
44,Fear,,2020-07-09
44,Fear,,2020-07-08
43,Fear,,2020-07-07
40,Fear,,2020-07-06
38,Fear,,2020-07-05
40,Fear,,2020-07-04
41,Fear,,2020-07-03
42,Fear,,2020-07-02
42,Fear,,2020-07-01
44,Fear,,2020-06-30
41,Fear,,2020-06-29
40,Fear,,2020-06-28
43,Fear,,2020-06-27
40,Fear,,2020-06-26
43,Fear,,2020-06-25
50,Neutral,,2020-06-24
41,Fear,,2020-06-23
38,Fear,,2020-06-22
37,Fear,,2020-06-21
38,Fear,,2020-06-20
39,Fear,,2020-06-19
40,Fear,,2020-06-18
38,Fear,,2020-06-17
39,Fear,,2020-06-16
37,Fear,,2020-06-15
40,Fear,,2020-06-14
38,Fear,,2020-06-13
38,Fear,,2020-06-12
52,Neutral,,2020-06-11
54,Neutral,,2020-06-10
52,Neutral,,2020-06-09
53,Neutral,,2020-06-08
54,Neutral,,2020-06-07
54,Neutral,,2020-06-06
53,Neutral,,2020-06-05
54,Neutral,,2020-06-04
48,Neutral,,2020-06-03
56,Greed,,2020-06-02
50,Neutral,,2020-06-01
51,Neutral,,2020-05-31
48,Neutral,,2020-05-30
48,Neutral,,2020-05-29
41,Fear,,2020-05-28
39,Fear,,2020-05-27
39,Fear,,2020-05-26
41,Fear,,2020-05-25
43,Fear,,2020-05-24
40,Fear,,2020-05-23
42,Fear,,2020-05-22
49,Neutral,,2020-05-21
52,Neutral,,2020-05-20
50,Neutral,,2020-05-19
50,Neutral,,2020-05-18
40,Fear,,2020-05-17
41,Fear,,2020-05-16
44,Fear,,2020-05-15
40,Fear,,2020-05-14
41,Fear,,2020-05-13
39,Fear,,2020-05-12
40,Fear,,2020-05-11
48,Neutral,,2020-05-10
56,Greed,,2020-05-09
55,Greed,,2020-05-08
49,Neutral,,2020-05-07
42,Fear,,2020-05-06
40,Fear,,2020-05-05
44,Fear,,2020-05-04
45,Fear,,2020-05-03
40,Fear,,2020-05-02
40,Fear,,2020-05-01
44,Fear,,2020-04-30
26,Fear,,2020-04-29
26,Fear,,2020-04-28
28,Fear,,2020-04-27
21,Extreme Fear,,2020-04-26
24,Extreme Fear,,2020-04-25
20,Extreme Fear,,2020-04-24
19,Extreme Fear,,2020-04-23
19,Extreme Fear,,2020-04-22
17,Extreme Fear,,2020-04-21
15,Extreme Fear,,2020-04-20
16,Extreme Fear,,2020-04-19
18,Extreme Fear,,2020-04-18
15,Extreme Fear,,2020-04-17
13,Extreme Fear,,2020-04-16
18,Extreme Fear,,2020-04-15
15,Extreme Fear,,2020-04-14
11,Extreme Fear,,2020-04-13
10,Extreme Fear,,2020-04-12
15,Extreme Fear,,2020-04-11
15,Extreme Fear,,2020-04-10
22,Extreme Fear,,2020-04-09
21,Extreme Fear,,2020-04-08
20,Extreme Fear,,2020-04-07
12,Extreme Fear,,2020-04-06
12,Extreme Fear,,2020-04-05
12,Extreme Fear,,2020-04-04
14,Extreme Fear,,2020-04-03
14,Extreme Fear,,2020-04-02
12,Extreme Fear,,2020-04-01
12,Extreme Fear,,2020-03-31
10,Extreme Fear,,2020-03-30
12,Extreme Fear,,2020-03-29
8,Extreme Fear,,2020-03-28
12,Extreme Fear,,2020-03-27
14,Extreme Fear,,2020-03-26
13,Extreme Fear,,2020-03-25
12,Extreme Fear,,2020-03-24
10,Extreme Fear,,2020-03-23
11,Extreme Fear,,2020-03-22
9,Extreme Fear,,2020-03-21
9,Extreme Fear,,2020-03-20
12,Extreme Fear,,2020-03-19
11,Extreme Fear,,2020-03-18
8,Extreme Fear,,2020-03-17
9,Extreme Fear,,2020-03-16
12,Extreme Fear,,2020-03-15
8,Extreme Fear,,2020-03-14
10,Extreme Fear,,2020-03-13
14,Extreme Fear,,2020-03-12
17,Extreme Fear,,2020-03-11
16,Extreme Fear,,2020-03-10
17,Extreme Fear,,2020-03-09
33,Fear,,2020-03-08
38,Fear,,2020-03-07
39,Fear,,2020-03-06
41,Fear,,2020-03-05
40,Fear,,2020-03-04
38,Fear,,2020-03-03
38,Fear,,2020-03-02
39,Fear,,2020-03-01
38,Fear,,2020-02-29
40,Fear,,2020-02-28
39,Fear,,2020-02-27
41,Fear,,2020-02-26
44,Fear,,2020-02-25
46,Fear,,2020-02-24
46,Fear,,2020-02-23
43,Fear,,2020-02-22
44,Fear,,2020-02-21
44,Fear,,2020-02-20
50,Neutral,,2020-02-19
53,Neutral,,2020-02-18
49,Neutral,,2020-02-17
59,Greed,,2020-02-16
64,Greed,,2020-02-15
63,Greed,,2020-02-14
65,Greed,,2020-02-13
61,Greed,,2020-02-12
52,Neutral,,2020-02-11
57,Greed,,2020-02-10
56,Greed,,2020-02-09
56,Greed,,2020-02-08
56,Greed,,2020-02-07
61,Greed,,2020-02-06
53,Neutral,,2020-02-05
56,Greed,,2020-02-04
59,Greed,,2020-02-03
57,Greed,,2020-02-02
57,Greed,,2020-02-01
55,Greed,,2020-01-31
57,Greed,,2020-01-30
57,Greed,,2020-01-29
54,Neutral,,2020-01-28
50,Neutral,,2020-01-27
42,Fear,,2020-01-26
41,Fear,,2020-01-25
40,Fear,,2020-01-24
49,Neutral,,2020-01-23
52,Neutral,,2020-01-22
49,Neutral,,2020-01-21
48,Neutral,,2020-01-20
53,Neutral,,2020-01-19
51,Neutral,,2020-01-18
54,Neutral,,2020-01-17
55,Greed,,2020-01-16
54,Neutral,,2020-01-15
56,Greed,,2020-01-14
49,Neutral,,2020-01-13
45,Fear,,2020-01-12
50,Neutral,,2020-01-11
41,Fear,,2020-01-10
44,Fear,,2020-01-09
51,Neutral,,2020-01-08
40,Fear,,2020-01-07
41,Fear,,2020-01-06
39,Fear,,2020-01-05
38,Fear,,2020-01-04
38,Fear,,2020-01-03
39,Fear,,2020-01-02
37,Fear,,2020-01-01
38,Fear,,2019-12-31
40,Fear,,2019-12-30
37,Fear,,2019-12-29
37,Fear,,2019-12-28
38,Fear,,2019-12-27
39,Fear,,2019-12-26
22,Extreme Fear,,2019-12-25
25,Extreme Fear,,2019-12-24
33,Fear,,2019-12-23
20,Extreme Fear,,2019-12-22
23,Extreme Fear,,2019-12-21
23,Extreme Fear,,2019-12-20
21,Extreme Fear,,2019-12-19
15,Extreme Fear,,2019-12-18
23,Extreme Fear,,2019-12-17
24,Extreme Fear,,2019-12-16
21,Extreme Fear,,2019-12-15
27,Fear,,2019-12-14
22,Extreme Fear,,2019-12-13
23,Extreme Fear,,2019-12-12
20,Extreme Fear,,2019-12-11
26,Fear,,2019-12-10
32,Fear,,2019-12-09
28,Fear,,2019-12-08
32,Fear,,2019-12-07
29,Fear,,2019-12-06
21,Extreme Fear,,2019-12-05
24,Extreme Fear,,2019-12-04
28,Fear,,2019-12-03
28,Fear,,2019-12-02
25,Extreme Fear,,2019-12-01
38,Fear,,2019-11-30
31,Fear,,2019-11-29
32,Fear,,2019-11-28
20,Extreme Fear,,2019-11-27
21,Extreme Fear,,2019-11-26
17,Extreme Fear,,2019-11-25
21,Extreme Fear,,2019-11-24
23,Extreme Fear,,2019-11-23
20,Extreme Fear,,2019-11-22
30,Fear,,2019-11-21
32,Fear,,2019-11-20
32,Fear,,2019-11-19
38,Fear,,2019-11-18
38,Fear,,2019-11-17
41,Fear,,2019-11-16
38,Fear,,2019-11-15
41,Fear,,2019-11-14
38,Fear,,2019-11-13
39,Fear,,2019-11-12
40,Fear,,2019-11-11
39,Fear,,2019-11-10
38,Fear,,2019-11-09
42,Fear,,2019-11-08
54,Neutral,,2019-11-07
53,Neutral,,2019-11-06
54,Neutral,,2019-11-05
49,Neutral,,2019-11-04
56,Greed,,2019-11-03
51,Neutral,,2019-11-02
49,Neutral,,2019-11-01
50,Neutral,,2019-10-31
53,Neutral,,2019-10-30
54,Neutral,,2019-10-29
52,Neutral,,2019-10-28
50,Neutral,,2019-10-27
53,Neutral,,2019-10-26
24,Extreme Fear,,2019-10-25
20,Extreme Fear,,2019-10-24
33,Fear,,2019-10-23
39,Fear,,2019-10-22
37,Fear,,2019-10-21
37,Fear,,2019-10-20
41,Fear,,2019-10-19
40,Fear,,2019-10-18
40,Fear,,2019-10-17
40,Fear,,2019-10-16
39,Fear,,2019-10-15
37,Fear,,2019-10-14
38,Fear,,2019-10-13
38,Fear,,2019-10-12
39,Fear,,2019-10-11
41,Fear,,2019-10-10
37,Fear,,2019-10-09
39,Fear,,2019-10-08
27,Fear,,2019-10-07
32,Fear,,2019-10-06
31,Fear,,2019-10-05
30,Fear,,2019-10-04
37,Fear,,2019-10-03
39,Fear,,2019-10-02
38,Fear,,2019-10-01
27,Fear,,2019-09-30
33,Fear,,2019-09-29
32,Fear,,2019-09-28
24,Extreme Fear,,2019-09-27
12,Extreme Fear,,2019-09-26
15,Extreme Fear,,2019-09-25
39,Fear,,2019-09-24
41,Fear,,2019-09-23
37,Fear,,2019-09-22
37,Fear,,2019-09-21
41,Fear,,2019-09-20
31,Fear,,2019-09-19
38,Fear,,2019-09-18
41,Fear,,2019-09-17
38,Fear,,2019-09-16
38,Fear,,2019-09-15
39,Fear,,2019-09-14
38,Fear,,2019-09-13
39,Fear,,2019-09-12
38,Fear,,2019-09-11
41,Fear,,2019-09-10
41,Fear,,2019-09-09
43,Fear,,2019-09-08
39,Fear,,2019-09-07
43,Fear,,2019-09-06
41,Fear,,2019-09-05
43,Fear,,2019-09-04
41,Fear,,2019-09-03
28,Fear,,2019-09-02
24,Extreme Fear,,2019-09-01
20,Extreme Fear,,2019-08-31
24,Extreme Fear,,2019-08-30
20,Extreme Fear,,2019-08-29
32,Fear,,2019-08-28
30,Fear,,2019-08-27
41,Fear,,2019-08-26
33,Fear,,2019-08-25
39,Fear,,2019-08-24
33,Fear,,2019-08-23
5,Extreme Fear,,2019-08-22
11,Extreme Fear,,2019-08-21
